commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_currency,price_flag,weight_tonnes,price_usd_per_tonne,price_aud_per_tonne,value_usd,n_hs_codes,n_monthly_obs
clinker,import,2015Q2,2015,2,13.762469168126747,4.223224231901213,10.733217714882608,construction_gva,AUD,0,948340.76,53.04609654550755,68.253194027053,50305775.513,1,3
clinker,import,2015Q3,2015,3,13.700992422902297,4.255191300077169,10.736961733187352,construction_gva,AUD,0,891795.7655,50.38006391834566,70.47029687228897,44928727.668,1,3
clinker,import,2015Q4,2015,4,13.573900780571849,4.24009545449052,10.740540252898029,construction_gva,AUD,0,785362.584,49.95762726073541,69.4144774461075,39234851.236,1,3
clinker,import,2016Q1,2016,1,13.789502199810217,4.204719063448539,10.729634734557317,construction_gva,AUD,0,974326.946,48.84691359546983,67.00177177528373,47592864.145,1,3
clinker,import,2016Q2,2016,2,13.65466795793494,4.138278086184198,10.713105797383161,construction_gva,AUD,0,851426.075,46.62719989871112,62.69477345464099,39699613.798,1,3
clinker,import,2016Q3,2016,3,13.51567149315835,4.088083622654505,10.687548900946704,construction_gva,AUD,0,740937.454,45.04686810716954,59.62551715646052,33376911.766,1,3
clinker,import,2016Q4,2016,4,13.718234851978309,4.119728033020201,10.686749622538334,construction_gva,AUD,0,907305.822,45.7736001478011,61.542502459671425,41530653.908,1,3
clinker,import,2017Q1,2017,1,13.682080988727003,4.039113458562097,10.700296306368244,construction_gva,AUD,0,875089.1,43.33524630006247,56.77598622270432,37922201.683,1,3
clinker,import,2017Q2,2017,2,13.667827268928454,4.058588906086891,10.715395068816916,construction_gva,AUD,0,862704.29959,43.63622203910524,57.892561573158986,37645156.371,1,3
clinker,import,2017Q3,2017,3,13.929074929780745,4.026640918319352,10.74051860342465,construction_gva,AUD,0,1120264.0,44.33931083030429,56.07224330373896,49671733.708,1,3
clinker,import,2017Q4,2017,4,13.494070509736195,4.034259771196201,10.740063856180486,construction_gva,AUD,0,725104.1,43.42101923709989,56.501081027316644,31484759.075,1,3
clinker,import,2018Q1,2018,1,13.707531318663028,4.077333557442418,10.736874822010519,construction_gva,AUD,0,897646.232,46.24457257901129,58.98797192488772,41511266.326000005,1,3
clinker,import,2018Q2,2018,2,13.95156092530639,4.107783687098659,10.758987398772785,construction_gva,AUD,0,1145739.6,45.653895296103926,60.811790149100474,52307475.735,1,3
clinker,import,2018Q3,2018,3,13.937560585493115,4.133507709217178,10.742702836729976,construction_gva,AUD,0,1129810.622,45.56941131856344,62.39640797511859,51484804.946,1,3
clinker,import,2018Q4,2018,4,13.817052288886156,4.147543372661817,10.737352740034952,construction_gva,AUD,0,1001542.92,45.25127856827144,63.278357854836585,45321097.671,1,3
clinker,import,2019Q1,2019,1,13.634818388597354,4.23383602265329,10.738720061275421,construction_gva,AUD,0,834692.263,49.43348078092824,68.98133926967517,41261743.941,1,3
clinker,import,2019Q2,2019,2,13.908440995699982,4.243972404732642,10.726719568158678,construction_gva,AUD,0,1097385.396,48.70174612019349,69.68411627166475,53444584.95199999,1,3
clinker,import,2019Q3,2019,3,13.930040604383663,4.3041024442887945,10.730662877319089,construction_gva,AUD,0,1121346.333,50.219304205813096,74.00276403188171,56313232.617,1,3
clinker,import,2019Q4,2019,4,13.695689321587286,4.3344051396571,10.71103427340457,construction_gva,AUD,0,887079.0,52.64578789487746,76.2795697000037,46700972.88,1,3
clinker,import,2020Q1,2020,1,13.67306676764755,4.313904430619235,10.710253554880847,construction_gva,AUD,0,867236.3,48.32369108165791,74.73170481080055,41908059.056,1,3
clinker,import,2020Q2,2020,2,13.468108346195077,4.325267107991023,10.632412024471595,construction_gva,AUD,0,706521.1,50.59494897887692,75.58569970797143,35746399.007,1,3
clinker,import,2020Q3,2020,3,13.877851353370849,4.203822839438883,10.662890528873138,construction_gva,AUD,0,1064325.0,48.356025059075,66.9417500791893,51466526.371,1,3
